part,episode,length,release_mode,pre_ref,action_final,state_final,commanded_delta,opened_commanded,frac_state_followed,truncated,action_changed_last_n,state_changed_last_n
gear_20teeth,0,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,9,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,18,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,27,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,36,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,45,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,54,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,63,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,72,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,81,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,90,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,99,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,108,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,117,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,126,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,135,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,144,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,153,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,162,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,171,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,180,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,189,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,198,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,207,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,216,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,225,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,234,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,243,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,252,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,261,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,270,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,279,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,288,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,297,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,306,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,315,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,324,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
gear_20teeth,333,66,open,0.09774845093488693,0.1804591566324234,0.09774838387966156,0.08271070569753647,True,-0.0,True,True,False
